"date","datatype","station_id","value","fl_c"
"2010-02-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00356334",462,"R"
"2010-03-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00356334",50,"S"
"2010-03-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00356334",467,"R"
"2010-04-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00356334",126,"C"
"2010-04-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00356334",347,"R"
"2010-05-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00356334",286,"S"
"2010-05-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00356334",246,"R"
"2010-06-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00356334",429,"S"
"2010-06-01T00:00:00","MLY-PRCP-NORMAL","GHCND:USC00356334",174,"R"
"2010-07-01T00:00:00","MLY-GRDD-BASE50","GHCND:USC00356334",617,"S"
